"5b. U.S. Regional Natural Gas Prices"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=16&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&ctype=linechart&maptype=0&id="
"Tue Apr 04 2023 16:26:32 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"5b. U.S. Regional Natural Gas Prices","5b. U.S. Regional Natural Gas Prices",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wholesale/Spot","Wholesale/Spot",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Hub Spot Price","Natural Gas Henry Hub Spot Price",1,1,"dollars per thousand cubic feet","NGHHMCF",3.13,2.96,3.04,3.95,3.03,2.66,2.48,2.50,1.98,1.77,2.07,2.63,3.70,3.06,4.53,4.96,4.84,7.77,8.30,5.76,2.81,2.87,3.26,3.63,4.17,3.81,3.96,4.21
"Residential Retail","Residential Retail",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England","Natural Gas Residential Price - New England",1,1,"dollars per thousand cubic feet","NGRCU_NEC",14.42,16.50,19.04,14.47,14.42,15.46,19.05,14.02,14.05,14.74,18.47,14.90,14.70,16.23,20.39,17.65,17.69,20.93,26.83,21.72,19.65,19.55,22.94,17.88,17.78,19.38,23.80,18.87
"Middle Atlantic","Natural Gas Residential Price - Middle Atlantic",1,1,"dollars per thousand cubic feet","NGRCU_MAC",10.15,11.89,18.25,11.36,10.70,12.97,18.34,11.29,10.77,11.84,17.83,11.77,10.41,13.46,19.65,14.28,12.79,15.55,23.86,16.89,13.35,14.42,20.89,14.12,12.98,15.38,22.17,14.90
"East North Central","Natural Gas Residential Price - East North Central",1,1,"dollars per thousand cubic feet","NGRCU_ENC",7.18,9.76,18.43,8.01,7.26,10.47,19.04,7.67,6.99,9.47,18.18,8.02,7.42,12.74,22.45,11.38,9.81,14.81,25.79,13.17,10.91,13.68,21.93,9.75,8.70,12.74,22.02,10.06
"West North Central","Natural Gas Residential Price - West North Central",1,1,"dollars per thousand cubic feet","NGRCU_WNC",8.16,10.43,18.58,9.08,7.88,10.61,18.10,8.06,7.22,10.02,17.42,8.67,7.52,11.60,20.46,12.48,11.40,15.25,25.07,13.42,11.03,13.13,20.39,10.11,8.93,12.30,20.52,10.50
"South Atlantic","Natural Gas Residential Price - South Atlantic",1,1,"dollars per thousand cubic feet","NGRCU_SAC",10.93,15.34,24.22,12.27,11.42,17.86,25.10,12.62,11.85,15.14,23.48,13.82,11.69,17.52,26.47,16.15,13.91,22.11,32.95,17.73,14.76,17.85,25.53,14.64,13.14,18.66,26.97,15.31
"East South Central","Natural Gas Residential Price - East South Central",1,1,"dollars per thousand cubic feet","NGRCU_ESC",9.64,12.80,21.45,10.73,9.66,14.88,21.55,10.42,9.67,13.22,20.81,10.61,9.41,15.00,23.30,14.36,11.80,17.16,26.38,15.45,11.03,14.76,22.24,12.15,10.56,15.17,22.97,12.47
