"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:27:02 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"7d. U.S. Regional Electricity Generation, Electric Power Sector","7d. U.S. Regional Electricity Generation, Electric Power Sector",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States","United States",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: U.S. total",1,1,"billion kilowatthours","NGEPGEN_US",290.77,319.80,440.41,314.85,323.22,333.24,467.87,352.81,362.36,345.54,468.83,342.94,320.35,347.07,453.69,355.67,336.38,365.35,509.28,375.17,350.42,348.90,488.12,370.22,348.12,336.40,471.16,366.24
"Coal","Electric power sector generation by coal: U.S. total",1,1,"billion kilowatthours","CLEPGEN_US",279.94,258.32,325.23,278.69,257.50,208.86,278.96,213.42,170.46,151.19,247.87,198.19,229.24,203.74,280.83,178.52,217.55,189.13,234.63,182.10,167.47,163.97,212.14,151.53,177.68,154.01,211.72,150.64
"Nuclear","Electric power sector generation by nuclear: U.S. total",1,1,"billion kilowatthours","NUEPGEN_US",206.47,196.14,209.46,195.01,203.50,196.51,210.17,199.23,204.08,190.71,204.09,190.99,198.39,186.56,202.82,190.41,195.58,184.39,201.49,190.08,195.00,187.09,206.61,195.52,201.39,193.03,209.10,190.37
"Renewable energy sources","Electric power sector generation by renewables: U.S. total",1,1,"billion kilowatthours","RTEPGEN_US",175.00,192.36,151.87,154.51,170.49,196.77,166.40,163.01,187.26,206.31,175.51,182.93,193.23,207.95,182.88,200.97,233.03,245.12,197.78,207.18,239.27,271.17,215.24,226.14,264.94,294.31,240.01,244.67
"Conventional hydropower","Electric power sector generation by conventional hydropower: U.S. total",1,1,"billion kilowatthours","HVEPGEN_US",75.51,85.81,65.97,63.86,73.64,87.52,65.75,59.74,73.80,80.82,68.47,60.96,65.60,65.85,59.16,59.78,74.15,69.23,62.45,55.01,65.02,78.27,63.66,58.51,71.51,80.00,64.62,59.61
"Wind","Electric power sector generation by wind: U.S. total",1,1,"billion kilowatthours","WNEPGEN_US",75.17,75.02,54.76,67.44,72.62,77.07,66.54,79.37,86.48,88.22,68.85,93.61,95.90,96.55,77.73,107.73,118.99,121.03,80.64,113.85,128.54,127.60,85.33,119.91,134.78,130.69,87.86,125.73
"Solar ","Electric power sector generation by solar: U.S. total",1,1,"billion kilowatthours","SOEPGEN_US",12.16,20.14,19.24,11.72,13.18,21.68,22.61,13.79,16.24,27.01,27.45,17.82,21.05,35.31,35.15,23.01,29.20,44.44,43.40,27.58,34.99,55.33,55.25,37.31,48.21,74.48,76.36,48.93
"Geothermal","Electric power sector generation by geothermal: U.S. total",1,1,"billion kilowatthours","GEEPGEN_US",3.98,3.87,4.06,4.02,3.98,3.83,4.04,3.18,3.72,3.90,3.85,3.97,3.78,3.77,3.91,4.02,4.10,3.95,4.18,4.23,4.26,3.82,4.29,4.18,3.85,2.88,4.32,4.07
"Waste biomass","Electric power sector generation by waste biomass: U.S. total",1,1,"billion kilowatthours","OWEPGEN_US",4.52,4.37,4.30,4.43,4.04,3.97,4.08,4.00,4.06,3.89,3.88,3.79,3.82,3.73,3.67,3.62,3.49,3.55,3.56,3.45,3.57,3.54,3.56,3.47,3.58,3.53,3.54,3.46
"Wood biomass","Electric power sector generation by wood biomass: U.S. total",1,1,"billion kilowatthours","WWEPGEN_US",3.66,3.15,3.53,3.04,3.03,2.71,3.37,2.92,2.96,2.46,3.01,2.78,3.09,2.74,3.26,2.80,3.09,2.92,3.55,3.06,2.88,2.60,3.16,2.77,3.00,2.74,3.31,2.87
"Pumped storage hydropower","Electric power sector generation by pumped storage hydropower: U.S. total",1,1,"billion kilowatthours","HPEPGEN_US",-1.35,-1.20,-1.99,-1.36,-1.12,-0.86,-1.87,-1.41,-0.98,-1.19,-1.99,-1.16,-1.08,-0.99,-1.79,-1.25,-1.22,-1.32,-2.01,-1.48,-1.05,-1.22,-1.80,-1.34,-1.09,-1.40,-2.03,-1.44
"Petroleum ","Electric power sector generation by petroleum: U.S. total",1,1,"billion kilowatthours","PAEPGEN_US",9.17,4.69,5.37,4.69,4.83,4.12,4.71,3.56,3.97,3.93,4.38,4.06,5.05,3.77,4.91,4.57,6.39,4.15,4.48,7.42,5.34,3.79,4.38,5.16,5.49,3.74,4.38,5.54
"Other gases","Electric power sector generation by other gases: U.S. total",1,1,"billion kilowatthours","OGEPGEN_US",1.03,1.06,1.08,0.91,1.09,0.98,1.09,0.87,1.02,0.51,0.79,0.86,0.73,0.88,0.94,0.75,0.77,0.94,0.95,0.79,0.84,0.77,0.90,0.80,0.78,0.86,0.93,0.78
