"9c. U.S. Regional Weather Data"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=28&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:25:30 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"9c. U.S. Regional Weather Data","9c. U.S. Regional Weather Data",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heating Degree Days","Heating Degree Days",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England","Heating Degree days: New England",1,1,"heating degree days","ZWHD_NEC",3051,903,69,2301,3227,896,135,2280,2734,972,114,2002,3013,781,84,1922,3140,789,116,1988,2725,864,133,2123,3072,846,133,2123
"Middle Atlantic","Heating Degree days: Middle Atlantic",1,1,"heating degree days","ZWHD_MAC",2942,755,37,2050,2985,635,68,2065,2466,834,85,1829,2822,669,57,1727,2944,673,74,1968,2435,687,81,1941,2817,672,81,1941
"East North Central","Heating Degree days: East North Central",1,1,"heating degree days","ZWHD_ENC",3211,826,60,2337,3326,760,64,2278,2786,845,125,2098,3085,706,69,1887,3269,753,100,2223,2713,735,123,2221,3073,730,123,2221
"West North Central","Heating Degree days: West North Central",1,1,"heating degree days","ZWHD_WNC",3421,828,121,2601,3647,773,108,2549,3039,799,167,2317,3226,718,87,2026,3483,793,112,2516,3084,709,164,2456,3227,715,164,2456
"South Atlantic","Heating Degree days: South Atlantic",1,1,"heating degree days","ZWHD_SAC",1445,219,2,969,1338,128,2,922,1110,253,17,879,1345,211,10,797,1339,188,13,977,1053,189,12,932,1356,188,12,930
"East South Central","Heating Degree days: East South Central",1,1,"heating degree days","ZWHD_ESC",1813,325,3,1337,1712,193,1,1274,1482,336,20,1225,1791,314,19,1039,1822,248,22,1336,1399,248,19,1283,1794,256,19,1284
"West South Central","Heating Degree days: West South Central",1,1,"heating degree days","ZWHD_WSC",1194,142,3,913,1207,90,0,848,970,101,8,735,1296,121,1,496,1338,56,2,805,973,75,4,804,1193,93,4,803
"Mountain","Heating Degree days: Mountain",1,1,"heating degree days","ZWHD_MTN",2132,604,124,1970,2437,791,128,1976,2222,676,127,1782,2307,663,110,1636,2303,738,85,2015,2469,700,148,1877,2268,727,148,1876
"Pacific","Heating Degree days: Pacific",1,1,"heating degree days","ZWHD_PAC",1440,539,84,1105,1687,576,96,1185,1536,528,65,1087,1566,488,77,1202,1408,607,49,1296,1674,616,86,1218,1538,625,86,1219
"U.S. Average","Heating Degree days: U.S.",1,1,"heating degree days","ZWHDPUS",2137,524,48,1584,2217,482,57,1564,1880,543,70,1423,2108,472,51,1306,2149,492,54,1552,1885,489,73,1514,2081,491,73,1511
